symbol,size,price,timestamp
SLAB,39,109.0,2019-10-21 09:57:48.272395931
SE,100,27.04,2019-10-21 10:34:01.594164417
OLLI,100,62.94,2019-10-21 10:01:10.502103562
ATI,100,20.325,2019-10-21 13:37:37.165645790
WLL,43,6.64,2019-10-21 15:28:34.303233935
YUM,100,112.39,2019-10-21 15:55:36.654479299
JBLU,100,17.565,2019-10-21 12:16:13.715911399
IWM,100,154.085,2019-10-21 15:59:29.003424997
SPY,100,299.59,2019-10-21 09:45:12.115555167
DDOG,900,30.285,2019-10-21 14:17:01.873812548
SRE,100,145.405,2019-10-21 10:12:24.380944268
ANGI,27,6.645,2019-10-21 15:58:56.661998370
ACGL,100,42.605,2019-10-21 15:12:40.841207201
CURO,10,12.495,2019-10-21 15:56:37.308215225
TTD,100,204.24,2019-10-21 12:26:49.671182963
WORK,100,22.235,2019-10-21 10:50:25.264981795
DS,100,4.38,2019-10-21 10:41:35.775332320
RDFN,10,18.425,2019-10-21 10:40:07.523435970
SSYS,100,20.05,2019-10-21 14:15:33.924176159
AGNC,219,16.615,2019-10-21 14:59:08.244984546
AMTD,100,37.755,2019-10-21 15:40:21.469879490
FFIN,100,35.49,2019-10-21 12:54:41.270653468
MTG,400,13.75,2019-10-21 14:47:22.990914294
PAGS,100,38.835,2019-10-21 15:02:02.009932180
AROC,112,9.81,2019-10-21 12:38:52.155209753
ARNC,100,26.995,2019-10-21 14:44:38.667793653
GTT,20,7.18,2019-10-21 15:58:25.135479703
XPO,1011,77.59,2019-10-21 13:22:01.332382709
EIX,100,70.585,2019-10-21 09:51:11.129155660
DOYU,400,7.54,2019-10-21 13:12:45.770434808
IWM,100,154.47,2019-10-21 09:31:08.518508685
DFS,1,79.86,2019-10-21 10:26:00.444910789
SBUX,1,85.375,2019-10-21 14:28:21.660569371
GPOR,100,2.565,2019-10-21 13:03:53.754026435
S,100,6.39,2019-10-21 11:27:28.331920107
KEY,100,18.135,2019-10-21 10:09:24.469760953
HPE,7,16.285,2019-10-21 13:22:37.414021510
BX,100,49.23,2019-10-21 13:54:24.720483254
MCHI,22,58.415,2019-10-21 15:58:16.680570862
AMTD,100,37.64,2019-10-21 11:07:04.724696981
VNQ,100,95.065,2019-10-21 15:41:45.782585639
MS,100,44.9,2019-10-21 11:33:03.367043425
ENB,17,36.13,2019-10-21 10:14:17.346845162
JCP,20,1.005,2019-10-21 15:51:50.735821514
ELS,100,68.57,2019-10-21 11:05:52.619440836
URBN,4,28.37,2019-10-21 10:17:15.078410882
ACB,3,3.675,2019-10-21 13:07:55.174033390
FICO,1,299.3,2019-10-21 15:00:01.672666316
PLAN,100,44.11,2019-10-21 10:01:49.186532438
QCOM,100,78.735,2019-10-21 15:19:47.373964288
MA,100,274.145,2019-10-21 15:13:47.102356650
CMCSA,41,45.92,2019-10-21 12:15:08.887777364
DOCU,100,65.51,2019-10-21 11:08:42.702238425
