pl_name,hostname,disc_year,radius,temperature,mass,ra,dec,habitable
K2-125 b,K2-125,2017,2.18,,,204.1418754,-14.9478195,FALSE
K2-126 b,K2-126,2017,1.97,601,,203.5467021,-13.5769705,FALSE
K2-127 b,K2-127,2017,8.37,809,,207.0782895,-11.5889878,FALSE
K2-128 b,K2-128,2017,1.42,,,204.4376666,-8.5970858,FALSE
K2-129 b,K2-129,2017,1.04,,,289.1485491,-25.6463233,FALSE
K2-13 b,K2-13,2015,1.89,511,,170.1554763,2.5027534,FALSE
K2-130 b,K2-130,2017,1.25,,,290.2705419,-19.6908744,FALSE
K2-131 b,K2-131,2017,1.7,2062,,182.751404,-9.7652392,FALSE
K2-132 b,K2-132,2017,14.572,,155.7367,182.1662666,-8.7472172,FALSE
K2-133 b,K2-133,2017,1.34,,,70.1493775,25.0098135,FALSE
K2-133 c,K2-133,2017,1.603,,,70.1493775,25.0098135,FALSE
K2-133 d,K2-133,2017,2.003,,,70.1493775,25.0098135,FALSE
K2-133 e,K2-133,2019,1.73,296,,70.1493775,25.0098135,FALSE
K2-136 b,K2-136,2017,0.99,553,,67.4128615,22.8825674,FALSE
K2-136 c,K2-136,2017,2.91,425,,67.4128615,22.8825674,FALSE
K2-136 d,K2-136,2017,1.45,373,,67.4128615,22.8825674,FALSE
K2-137 b,K2-137,2017,0.89,1471,158.915,186.870426,-6.1952168,FALSE
K2-138 b,K2-138,2017,1.51,,3.1,348.9490311,-10.8497391,FALSE
K2-138 c,K2-138,2017,2.299,,6.31,348.9490311,-10.8497391,FALSE
K2-138 d,K2-138,2017,2.39,,7.92,348.9490311,-10.8497391,FALSE
K2-138 e,K2-138,2017,3.39,,12.97,348.9490311,-10.8497391,FALSE
K2-138 f,K2-138,2017,2.904,,1.63,348.9490311,-10.8497391,FALSE
K2-138 g,K2-138,2021,3.013,,4.32,348.9490311,-10.8497391,FALSE
K2-139 b,K2-139,2017,9.11,524,,289.066707,-17.9107147,FALSE
K2-14 b,K2-14,2015,4.81,488,,178.0568745,2.5941222,FALSE
K2-140 b,K2-140,2017,12.25,957,,188.1373172,-9.6076115,FALSE
K2-141 b,K2-141,2018,1.51,,5.08,350.9170464,-1.1891827,FALSE
K2-141 c,K2-141,2018,7,,7.4,350.9170464,-1.1891827,FALSE
K2-146 b,K2-146,2018,2.05,,5.77,130.0266951,19.0923416,FALSE
K2-146 c,K2-146,2019,2.19,,7.49,130.0266951,19.0923416,FALSE
K2-147 b,K2-147,2018,1.38,,,293.8330329,-28.498475,FALSE
K2-148 b,K2-148,2018,1.33,,,14.5176494,-0.193258,FALSE
K2-148 c,K2-148,2018,1.73,,,14.5176494,-0.193258,FALSE
K2-148 d,K2-148,2018,1.64,,,14.5176494,-0.193258,FALSE
K2-149 b,K2-149,2018,1.64,,,9.8217519,7.2769939,FALSE
K2-15 b,K2-15,2015,2.48,676,,178.1105741,4.2546649,FALSE
K2-150 b,K2-150,2018,2,,,18.3443908,8.9874328,FALSE
K2-151 b,K2-151,2018,1.49,566,,19.3047733,9.5012663,FALSE
K2-152 b,K2-152,2018,2.29,337,,181.6324078,-5.8274311,FALSE
K2-153 b,K2-153,2018,2,497,,183.8088709,2.0208765,FALSE
K2-154 b,K2-154,2018,1.99,715,,189.0015173,-2.6696217,FALSE
K2-154 c,K2-154,2018,2.07,552,,189.0015173,-2.6696217,FALSE
K2-155 b,K2-155,2018,1.8,708,,65.469614,21.3532633,FALSE
K2-155 c,K2-155,2018,2.6,583,,65.469614,21.3532633,FALSE
K2-155 d,K2-155,2018,1.9,381,,65.469614,21.3532633,FALSE
K2-156 b,K2-156,2018,1.15,1347,,182.699673,-6.2943552,FALSE
K2-157 b,K2-157,2018,1.055,,,183.7514959,-5.7820178,FALSE
K2-158 b,K2-158,2018,2.64,794,,179.9397081,-5.7216879,FALSE
K2-158 c,K2-158,2018,1.28,948,,179.9397081,-5.7216879,FALSE
K2-159 b,K2-159,2018,2.26,684,,180.5408896,-3.5809053,FALSE
K2-16 b,K2-16,2015,2.02,658,,175.0972238,4.5574311,FALSE
K2-16 c,K2-16,2015,2.54,485,,175.0972238,4.5574311,FALSE
K2-160 b,K2-160,2018,3.178,,,184.0545174,-3.5530888,FALSE
K2-161 b,K2-161,2018,6.117,,,183.7938491,-3.4956913,FALSE
K2-162 b,K2-162,2018,1.44,631,,186.0383865,-1.111479,FALSE
K2-163 b,K2-163,2018,2.466,,,182.3292517,-0.5393421,FALSE
K2-164 b,K2-164,2018,3.249,,,171.933659,-0.0628488,FALSE
K2-165 b,K2-165,2018,1.274,,,184.9004881,0.968327,FALSE
K2-165 c,K2-165,2018,1.554,,,184.9004881,0.968327,FALSE
K2-165 d,K2-165,2018,2.648,,,184.9004881,0.968327,FALSE
K2-166 b,K2-166,2018,2.19,1140,,185.1880932,2.2823788,FALSE
K2-167 b,K2-167,2018,2.819,,,336.5761233,-18.011665,FALSE
K2-168 b,K2-168,2018,1.86,766,,333.1100738,-16.3418863,FALSE
K2-169 b,K2-169,2018,1.273,,,337.0442461,-14.5993376,FALSE
K2-17 b,K2-17,2015,2.23,487,,178.3296746,6.4123178,FALSE
K2-170 b,K2-170,2018,1.418,,,335.4506923,-14.5933554,FALSE
K2-170 c,K2-170,2018,1.802,,,335.4506923,-14.5933554,FALSE
K2-171 b,K2-171,2018,2.687,,,332.3407712,-13.4288624,FALSE
K2-172 b,K2-172,2018,1.666,,,335.3081368,-12.5569819,FALSE
K2-172 c,K2-172,2018,3.206,,,335.3081368,-12.5569819,FALSE
K2-173 b,K2-173,2018,1.608,,,60.3752402,15.6251296,FALSE
K2-174 b,K2-174,2018,2.6,455,,60.7929729,16.347166,FALSE
K2-175 b,K2-175,2018,2.038,,,52.5035514,17.5841081,FALSE
K2-176 b,K2-176,2018,1.491,,,58.2691796,17.9069486,FALSE
